Index,Source_Plate,Source_Well,Destination_Plate,Destination_Well,Volume,Pre_Aspirate_Mix_Volume,Post_Dispense_Mix_Volume
01,DNA_frags,B03,Rxn_plate,A01,5,0,0
02,DNA_frags,C04,Rxn_plate,A01,5,0,0
03,DNA_frags,D05,Rxn_plate,A01,5,0,0
04,DNA_frags,E06,Rxn_plate,A01,5,0,0
05,DNA_frags,F07,Rxn_plate,A01,5,0,0
06,DNA_frags,G08,Rxn_plate,A01,5,0,0
07,DNA_frags,F09,Rxn_plate,A01,5,0,0
08,DNA_frags,E10,Rxn_plate,A01,5,0,0
09,DNA_frags,G03,Rxn_plate,B01,5,0,0
10,DNA_frags,G04,Rxn_plate,B01,5,0,0
11,DNA_frags,G05,Rxn_plate,B01,5,0,0
12,DNA_frags,G06,Rxn_plate,B01,5,0,0
13,DNA_frags,G07,Rxn_plate,B01,5,0,0
14,DNA_frags,G08,Rxn_plate,B01,5,0,0
15,DNA_frags,G09,Rxn_plate,B01,5,0,0
16,DNA_frags,G10,Rxn_plate,B01,5,0,0
17,DNA_frags,E03,Rxn_plate,C01,5,0,0
18,DNA_frags,E04,Rxn_plate,C01,5,0,0
19,DNA_frags,E05,Rxn_plate,C01,5,0,0
20,DNA_frags,E06,Rxn_plate,C01,5,0,0
21,DNA_frags,E07,Rxn_plate,C01,5,0,0
22,DNA_frags,E08,Rxn_plate,C01,5,0,0
23,DNA_frags,E09,Rxn_plate,C01,5,0,0
24,DNA_frags,E10,Rxn_plate,C01,5,0,0
